lat,lon,sst,sst_std,mask,x,y,learned_pred,learned_var,guessed_pred,guessed_var
48.0,-7.94,,,1.0,-1.2053064490263754,5.576612038791137,0.8072273,0.2835425,0.8181679,0.04529786
48.0,-7.88,,,1.0,-1.200883380276798,5.575222581961255,0.8243462,0.288445,0.834161,0.045543432
48.0,-7.8,,,1.0,-1.1949853950701852,5.573376108741077,0.8482957,0.29705608,0.857614,0.047118664
48.0,-7.7200003,,,1.0,-1.189086773673978,5.571536642861047,0.8738638,0.3079399,0.8838163,0.047778845
48.0,-7.6600003,,,1.0,-1.1846623927705533,5.5701616386789805,0.89432657,0.31746876,0.9054551,0.04989016
48.0,-7.58,,,1.0,-1.1787626334299468,5.56833441143047,0.92353547,0.33179134,0.93711936,0.05380845
48.0,-7.5,,,1.0,-1.172862285083627,5.566514187212976,0.95497906,0.34764957,0.9719425,0.05884862
48.0,-7.46,,,1.0,-1.1699118781998947,5.565606695428385,0.9715119,0.35602617,0.9904683,0.060525656
48.0,-7.44,,,1.0,-1.1684366168162237,5.565153604316668,0.97995573,0.36030525,0.99998903,0.060382128
48.0,-7.36,,,1.0,-1.1625351865691065,5.563345603074849,1.0148281,0.37785614,1.0395908,0.07053888
48.0,-7.2200003,,,1.0,-1.1522062127810837,5.560198386084246,1.0786895,0.40914065,1.11324,0.084527254
48.0,-7.2000003,,,1.0,-1.150730493344914,5.559750526208579,1.0879568,0.41354716,1.1240304,0.08724201
48.0,-7.1800003,,,1.0,-1.1492547361693028,5.559303101715791,1.0972047,0.41793108,1.1348485,0.08921194
48.0,-7.1600003,,,1.0,-1.147778941320218,5.558856112521039,1.1064581,0.42226171,1.1456866,0.09389937
48.0,-7.1400003,,,1.0,-1.1463031088635398,5.558409558539552,1.1156844,0.42654812,1.1565315,0.09647608
48.0,-7.12,,,1.0,-1.1448272036770906,5.557963429055496,1.1248816,0.43077826,1.167358,0.09752619
48.0,-7.1,,,1.0,-1.1433512962015997,5.557517745256857,1.1340336,0.43494213,1.1781704,0.10168266
48.0,-7.08,,,1.0,-1.1418753513156006,5.557072496417557,1.1431272,0.43903637,1.1889399,0.10543275
48.0,-7.06,,,1.0,-1.140399369084606,5.556627682453092,1.1521592,0.44305873,1.1996603,0.10738516
48.0,-7.04,,,1.0,-1.138923349574036,5.55618330327902,1.1610986,0.44700408,1.2103184,0.11007488
48.0,-7.02,,,1.0,-1.1374472928492223,5.555739358810969,1.1699731,0.45084894,1.2208955,0.11387408
48.0,-7.0,,,1.0,-1.1359711989754018,5.555295848964628,1.1787308,0.45460248,1.2313861,0.116606
48.0,-6.98,,,1.0,-1.1344950680177244,5.554852773655757,1.1873822,0.45825636,1.2417619,0.122181416
48.0,-6.96,,,1.0,-1.133018900041246,5.5544101328001805,1.1959077,0.46180683,1.2520189,0.12335634
48.0,-6.94,,,1.0,-1.1315426951109324,5.55396792631379,1.2042887,0.4652531,1.2621404,0.12734866
48.0,-6.92,,,1.0,-1.1300664532916604,5.5535261541125465,1.2125342,0.46857858,1.2721119,0.13059258
48.0,-6.88,,,1.0,-1.12711385924529,5.552643912229662,1.2285497,0.4748538,1.2915453,0.13764298
48.0,-6.82,,,1.0,-1.122684693125243,5.551323804446732,1.2512072,0.4832763,1.3192108,0.14700508
48.0,-6.8,,,1.0,-1.12120823132955,5.550884636195232,1.2583425,0.48581183,1.3279737,0.1505394
48.0,-6.78,,,1.0,-1.1197317330965004,5.550445901642459,1.2652671,0.4881906,1.3364803,0.14986265
48.0,-6.76,,,1.0,-1.118255198490251,5.550007600704905,1.271957,0.49041796,1.3447173,0.15581632
48.0,-6.7400002,,,1.0,-1.116778627574864,5.549569733299133,1.2784066,0.4924903,1.3526641,0.15753496
48.0,-6.7200003,,,1.0,-1.1153020204143174,5.5491322993417675,1.284579,0.49442184,1.360316,0.1609422
48.0,-6.7000003,,,1.0,-1.113825377072496,5.548695298749506,1.2905037,0.49617457,1.367647,0.16310215
48.0,-6.6800003,,,1.0,-1.1123486976131975,5.54825873143911,1.2961432,0.49777257,1.3746517,0.1665188
48.0,-6.6600003,,,1.0,-1.1108719821001296,5.547822597327407,1.3014867,0.49921072,1.3812984,0.16853666
48.0,-6.6400003,,,1.0,-1.10939523059691,5.547386896331295,1.3065327,0.50047326,1.3875862,0.17152739
48.0,-6.62,,,1.0,-1.1079184079572502,5.546951617995291,1.3112679,0.5015689,1.3934994,0.17464912
48.0,-6.6,,,1.0,-1.1064415846633728,5.54651678299164,1.3156759,0.502493,1.3990059,0.17635727
48.0,-6.58,,,1.0,-1.104964725569668,5.546082380854668,1.3197302,0.50326085,1.4041096,0.17682552
48.0,-6.56,,,1.0,-1.1034878307393967,5.545648411501544,1.3234438,0.5038434,1.4087864,0.17829347
48.0,-6.54,,,1.0,-1.1020109002357348,5.545214874849499,1.326782,0.5042647,1.4130138,0.17799914
48.0,-6.52,,,1.0,-1.100533934121768,5.544781770815833,1.3297596,0.5044965,1.4167895,0.18176913
48.0,-6.5,,,1.0,-1.0990569324604926,5.544349099317914,1.3323325,0.5045697,1.4200879,0.1832323
48.0,-6.48,,,1.0,-1.09757989531482,5.543916860273178,1.334495,0.5044762,1.4228966,0.18320835
48.0,-6.46,,,1.0,-1.0961028227475706,5.543485053599129,1.3362646,0.50419056,1.4252076,0.18411422
48.0,-6.44,,,1.0,-1.0946257148214753,5.543053679213335,1.337587,0.5037518,1.426997,0.18588877
48.0,-6.42,,,1.0,-1.0931485715991804,5.542622737033435,1.338468,0.5031413,1.4282532,0.18740678
48.0,-6.4,,,1.0,-1.0916713931432436,5.542192226977136,1.3389,0.5023568,1.4289639,0.187006
48.0,-6.38,,,1.0,-1.090194179516133,5.541762148962209,1.3388664,0.5014058,1.4291166,0.1867876
48.0,-6.36,,,1.0,-1.08871693078023,5.5413325029064975,1.3383323,0.50030565,1.4286876,0.18725514
48.0,-6.34,,,1.0,-1.0872396469978294,5.540903288727908,1.3373209,0.49903095,1.4276798,0.1863321
48.0,-6.32,,,1.0,-1.085762328231138,5.5404745063444185,1.3357928,0.49760574,1.4260688,0.18847096
48.0,-6.3,,,1.0,-1.0842849745422731,5.540046155674074,1.3337544,0.4960143,1.423842,0.18797565
48.0,-6.28,,,1.0,-1.0828075859932684,5.539618236634984,1.3311737,0.4942832,1.4209996,0.184968
48.0,-6.26,,,1.0,-1.0813301626460683,5.539190749145334,1.3280457,0.4924053,1.4175189,0.18451416
48.0,-6.2400002,,,1.0,-1.07985270456253,5.538763693123366,1.3243686,0.4903801,1.4133888,0.1829598
48.0,-6.2200003,,,1.0,-1.0783752118044243,5.538337068487401,1.3201154,0.48821986,1.4086142,0.18126082
48.0,-6.2000003,,,1.0,-1.0768976844334348,5.53791087515582,1.3152963,0.48591495,1.4031682,0.18103254
48.0,-6.1800003,,,1.0,-1.0754201225111593,5.537485113047077,1.309879,0.48348463,1.3970563,0.17853713
48.0,-6.1600003,,,1.0,-1.0739425260991076,5.537059782079691,1.303853,0.48093826,1.3902607,0.17577791
48.0,-6.1400003,,,1.0,-1.0724648952587044,5.536634882172251,1.2972125,0.4782802,1.3827832,0.17410445
48.0,-6.1200004,,,1.0,-1.070987230051286,5.536210413243412,1.2899567,0.47550058,1.3746096,0.17204392
48.0,-6.1,,,1.0,-1.0695094953065605,5.535786365107174,1.2820727,0.4726163,1.3657386,0.17104602
48.0,-6.08,,,1.0,-1.0680317615479658,5.535362757902053,1.2735493,0.46963453,1.3561769,0.166718
48.0,-6.06,,,1.0,-1.066553993605852,5.534939581431911,1.2643657,0.46657115,1.3459061,0.16879058
48.0,-6.04,,,1.0,-1.065076191541213,5.534516835615677,1.2545418,0.46341336,1.3349288,0.16193807
48.0,-6.02,,,1.0,-1.063598355414955,5.534094520372349,1.2440543,0.4601838,1.3232464,0.16270888
48.0,-6.0,,,1.0,-1.0621204852878998,5.533672635620993,1.2329081,0.45687664,1.3108574,0.15907335
48.0,-5.98,,,1.0,-1.0606425812207814,5.533251181280744,1.2210834,0.45351207,1.2977692,0.15602684
48.0,-5.96,,,1.0,-1.0591646432742507,5.532830157270803,1.208589,0.45009553,1.2839733,0.15164614
48.0,-5.94,,,1.0,-1.0576866715088724,5.532409563510442,1.1954155,0.4466374,1.269485,0.1508193
48.0,-5.92,,,1.0,-1.0562086659851233,5.531989399919,1.1815652,0.44314128,1.2543024,0.14969873
48.0,-5.9,,,1.0,-1.054730626763399,5.531569666415888,1.1670346,0.43962193,1.2384379,0.14581263
48.0,-5.88,,,1.0,-1.0532525539040052,5.53115036292058,1.151834,0.4360764,1.2218968,0.14568496
48.0,-5.86,,,1.0,-1.0517744474671669,5.530731489352622,1.1359693,0.43251038,1.2046874,0.14049757
48.0,-5.82,,,1.0,-1.0488181341016227,5.529895031677281,1.1021974,0.42542577,1.1683085,0.13423061
48.0,-5.8,,,1.0,-1.0473399272929382,5.529477447409332,1.0843225,0.4219029,1.1491722,0.13250697
48.0,-5.76,,,1.0,-1.0443834137231642,5.528643567611976,1.0466266,0.414958,1.1090604,0.12565935
48.0,-5.7000003,,,1.0,-1.0399483943832086,5.5273959685616605,0.9853782,0.40491915,1.0446135,0.12120867
48.0,-5.6800003,,,1.0,-1.038469988445413,5.526980960730724,0.96376735,0.40172225,1.0220711,0.1140846
48.0,-5.6400003,,,1.0,-1.035513077689498,5.526152232368905,0.9188409,0.3955922,0.97554153,0.11274862
48.0,-5.6000004,,,1.0,-1.032556035488024,5.525325219876174,0.8718052,0.38988978,0.9272824,0.108881354
48.0,-5.54,,,1.0,-1.0281201915051572,5.524087907182344,0.797743,0.3822738,0.85213125,0.101119995
48.0,-5.46,,,1.0,-1.0222053242043172,5.5224441696684385,0.69363874,0.3743056,0.74820274,0.095160246
48.0,-5.44,,,1.0,-1.020726526402261,5.522034306121816,0.6668881,0.3727417,0.7217916,0.09578562
48.0,-5.42,,,1.0,-1.0192476963263446,5.521624870749957,0.6399191,0.371369,0.6952813,0.09262872
48.0,-5.4,,,1.0,-1.0177688340348607,5.52121586347399,0.6127728,0.37019563,0.6687117,0.091621995
48.0,-5.38,,,1.0,-1.0162899395860203,5.520807284215119,0.58548266,0.3692354,0.6421288,0.09011102
48.0,-5.36,,,1.0,-1.0148110130379526,5.520399132894613,0.5581034,0.3684619,0.6155521,0.08988142
48.0,-5.34,,,1.0,-1.0133320544487032,5.519991409433812,0.5306736,0.3678848,0.5890339,0.089356184
48.0,-5.32,,,1.0,-1.011853063876236,5.519584113754126,0.50323164,0.36755633,0.5626126,0.087648034
48.0,-5.3,,,1.0,-1.010374041378432,5.519177245777034,0.47580707,0.36743116,0.53631264,0.08783746
48.0,-5.28,,,1.0,-1.008894987013091,5.518770805424083,0.44846272,0.36753678,0.51018316,0.088671446
48.0,-5.26,,,1.0,-1.0074159008379295,5.518364792616891,0.42123485,0.36786103,0.4842618,0.088092804
48.0,-5.2400002,,,1.0,-1.0059367829105834,5.517959207277146,0.3941609,0.3684075,0.45857912,0.08888459
48.0,-5.2200003,,,1.0,-1.004457633288605,5.517554049326603,0.36728385,0.36919832,0.43316567,0.089223504
48.0,-5.2000003,,,1.0,-1.0029784520294671,5.517149318687094,0.3406624,0.37020153,0.40807056,0.09095669
48.0,-5.1800003,,,1.0,-1.0014992391905593,5.51674501528051,0.3143016,0.37144053,0.38331375,0.08986592
48.0,-5.1600003,,,1.0,-1.0000199948291892,5.5163411390288175,0.2882732,0.37291908,0.35893908,0.09003985
48.0,-5.1200004,,,1.0,-0.9970614117678906,5.515534667678325,0.23731542,0.37655723,0.3114247,0.09239018
48.0,-5.1000004,,,1.0,-0.9955820731821712,5.515132072423806,0.21248195,0.37872612,0.28834566,0.09386945
48.0,-5.08,,,1.0,-0.994102668031077,5.514729894429376,0.18809757,0.38111055,0.26576167,0.09496379
48.0,-5.06,,,1.0,-0.9926232669134318,5.5143281527942545,0.16422635,0.38372755,0.24369708,0.09722161
48.0,-5.04,,,1.0,-0.991143834615469,5.5139268378472845,0.14088243,0.3865533,0.22216208,0.09900367
48.0,-5.02,,,1.0,-0.9896643711939286,5.513525949510922,0.118078016,0.38957858,0.20118588,0.10033727
48.0,-5.0,,,1.0,-0.98818487670547,5.51312548770769,0.095887244,0.39284813,0.18079418,0.10351956
48.0,-4.98,,,1.0,-0.9867053512066728,5.512725452360186,0.074275345,0.3962952,0.16099404,0.105932355
48.0,-4.96,,,1.0,-0.9852257947540344,5.512325843391071,0.05332976,0.39998472,0.14181206,0.1071589
48.0,-4.94,,,1.0,-0.9837462074039728,5.511926660723085,0.03300935,0.40383774,0.12324734,0.11106694
48.0,-4.92,,,1.0,-0.9822665892128256,5.511527904279029,0.01336638,0.40788776,0.10532733,0.11224961
48.0,-4.9,,,1.0,-0.98078694023685,5.511129573981777,-0.0055924947,0.41212356,0.08805646,0.115067005
48.0,-4.88,,,1.0,-0.979307260532222,5.510731669754277,-0.023854649,0.41653597,0.07143916,0.118697524
48.0,-4.86,,,1.0,-0.9778275501550392,5.510334191519542,-0.041393746,0.4211229,0.055488713,0.1232909
48.0,-4.84,,,1.0,-0.9763478091613192,5.509937139200658,-0.058229607,0.42587328,0.040206004,0.1266048
48.0,-4.82,,,1.0,-0.9748680376069978,5.50954051272078,-0.07433508,0.43078035,0.025600774,0.12903774
48.0,-4.8,,,1.0,-0.973388235547933,5.5091443120031345,-0.089699306,0.4358467,0.011665055,0.13364148
48.0,-4.78,,,1.0,-0.9719084030399028,5.508748536971018,-0.10434346,0.44104648,-0.0015971701,0.13850105
48.0,-4.76,,,1.0,-0.9704285401386036,5.5083531875477965,-0.11823061,0.44638538,-0.014171287,0.14231682
48.0,-4.7400002,,,1.0,-0.968948646899656,5.5079582636569056,-0.13140883,0.4518299,-0.026082538,0.14660323
48.0,-4.7200003,,,1.0,-0.967468723378598,5.507563765221853,-0.14381865,0.45742178,-0.037317194,0.15146708
48.0,-4.7000003,,,1.0,-0.96598876963089,5.507169692166217,-0.15552767,0.46309847,-0.047889423,0.15735495
48.0,-4.6800003,,,1.0,-0.9645087857119132,5.506776044413646,-0.16649653,0.46887875,-0.057795685,0.16289699
48.0,-4.6600003,,,1.0,-0.9630287716769684,5.506382821887855,-0.17673336,0.4747597,-0.06705679,0.16808093
48.0,-4.6400003,,,1.0,-0.9615487275812786,5.505990024512634,-0.1862572,0.48072636,-0.07567053,0.1728183
48.0,-4.6200004,,,1.0,-0.960068653479988,5.505597652211845,-0.19507793,0.4867493,-0.08364354,0.1789335
48.0,-4.6000004,,,1.0,-0.9585885494281616,5.505205704909416,-0.20319624,0.49284613,-0.09098423,0.1840725
48.02,-10.0,,,1.0,-1.3561732827927184,5.628917001727915,0.2347685,0.61314285,0.2672187,0.12826347
